project = Chart, iteration=1
Chart,4,0.00022459412632884902,0.00022459412632884902
Chart,5,0.00954198473282443,0.00954198473282443
Chart,10,0.0177304964539007,0.0177304964539007
Chart,14,0.00107749331954142,0.000430997327816568
Chart,15,0.00747655473443105,0.000108042698474437
Chart,16,0.0602134146341463,0.00228658536585366
Chart,17,0.0011504832029452401,0.0011504832029452401
Chart,18,0.225522919448153,0.21562082777036
Chart,22,0.118027210884354,0.11904761904761901
Chart,24,0.115384615384615,0.115384615384615
